,ko,target,log2FoldChange
23166,noB_Plate15,ENSMUSG00000009291,-0.617351111498305
23167,noB_Plate15,ENSMUSG00000009350,2.07692072710091
23168,noB_Plate15,ENSMUSG00000009378,-1.2740124207413
23171,noB_Plate15,ENSMUSG00000009585,-0.22702315070604898
23172,noB_Plate15,ENSMUSG00000009614,-2.3136948597296296
23174,noB_Plate15,ENSMUSG00000010021,-1.53114597221018
23175,noB_Plate15,ENSMUSG00000010517,-0.428381751298886
23177,noB_Plate15,ENSMUSG00000010609,0.33896890489231696
23179,noB_Plate15,ENSMUSG00000010751,-0.575716241170287
23180,noB_Plate15,ENSMUSG00000010755,-0.42533626907004296
23181,noB_Plate15,ENSMUSG00000011114,-0.408472415812914
23182,noB_Plate15,ENSMUSG00000011148,0.5865733961755639
23183,noB_Plate15,ENSMUSG00000012428,-4.09782502585736
23184,noB_Plate15,ENSMUSG00000013275,-0.6655156321597491
23185,noB_Plate15,ENSMUSG00000013495,0.45123503909105195
23187,noB_Plate15,ENSMUSG00000013846,1.31624890863106
23191,noB_Plate15,ENSMUSG00000014496,0.7168865635359108
23192,noB_Plate15,ENSMUSG00000014551,0.258427020868077
23193,noB_Plate15,ENSMUSG00000014763,-0.487669944099474
23194,noB_Plate15,ENSMUSG00000014767,-0.41199230043635293
23195,noB_Plate15,ENSMUSG00000014769,-0.251760241942047
23196,noB_Plate15,ENSMUSG00000014778,0.649726117293836
23199,noB_Plate15,ENSMUSG00000015090,-1.38913921293618
23200,noB_Plate15,ENSMUSG00000015133,0.37164584795977706
23201,noB_Plate15,ENSMUSG00000015247,-0.943205969763441
23202,noB_Plate15,ENSMUSG00000015291,-0.3822846224803329
23203,noB_Plate15,ENSMUSG00000015363,-0.37196591811239293
23204,noB_Plate15,ENSMUSG00000015536,0.388037796984317
23205,noB_Plate15,ENSMUSG00000015568,3.2647283116873997
23206,noB_Plate15,ENSMUSG00000015619,-1.38363668397654
23207,noB_Plate15,ENSMUSG00000015837,-0.292684591387341
23208,noB_Plate15,ENSMUSG00000015937,0.6839287870610881
23209,noB_Plate15,ENSMUSG00000015950,0.456300062897318
23211,noB_Plate15,ENSMUSG00000015994,-0.224280366133875
23215,noB_Plate15,ENSMUSG00000016528,0.290005228337171
23216,noB_Plate15,ENSMUSG00000016756,1.8220060945525602
23217,noB_Plate15,ENSMUSG00000017002,2.19834876858831
23218,noB_Plate15,ENSMUSG00000017119,-0.263442271426562
23219,noB_Plate15,ENSMUSG00000017144,1.61466607335658
23220,noB_Plate15,ENSMUSG00000017390,-1.5671962580855603
23222,noB_Plate15,ENSMUSG00000017466,-1.66822994753026
23225,noB_Plate15,ENSMUSG00000017765,0.659134539354594
23226,noB_Plate15,ENSMUSG00000017774,-0.38051467076476997
23228,noB_Plate15,ENSMUSG00000017861,0.341435288835768
23229,noB_Plate15,ENSMUSG00000018008,0.7399595911168221
23231,noB_Plate15,ENSMUSG00000018076,0.7279872008974971
23233,noB_Plate15,ENSMUSG00000018340,-0.300247655657394
23234,noB_Plate15,ENSMUSG00000018377,-0.38791415718890293
23236,noB_Plate15,ENSMUSG00000018474,-0.472293915512501
23238,noB_Plate15,ENSMUSG00000018654,0.341523081519901
23239,noB_Plate15,ENSMUSG00000018740,-1.1806437120045399
23240,noB_Plate15,ENSMUSG00000018774,0.5868709398856911
23241,noB_Plate15,ENSMUSG00000018809,0.446029481212633
23242,noB_Plate15,ENSMUSG00000018819,1.58391883316172
23244,noB_Plate15,ENSMUSG00000018931,-0.521919008864661
23245,noB_Plate15,ENSMUSG00000018999,-0.802593485520296
23246,noB_Plate15,ENSMUSG00000019087,-0.271427729277581
23247,noB_Plate15,ENSMUSG00000019122,-0.543581308871706
23248,noB_Plate15,ENSMUSG00000019132,0.53705521393095
23249,noB_Plate15,ENSMUSG00000019189,-0.38539756564482397
23250,noB_Plate15,ENSMUSG00000019726,0.641313252071717
23251,noB_Plate15,ENSMUSG00000019768,0.9639819386798171
23252,noB_Plate15,ENSMUSG00000019790,-0.638950113420781
23254,noB_Plate15,ENSMUSG00000019818,-0.4358201947399771
23255,noB_Plate15,ENSMUSG00000019820,-0.28002819890680997
23256,noB_Plate15,ENSMUSG00000019832,0.699777255313374
23257,noB_Plate15,ENSMUSG00000019838,0.527072785872359
23258,noB_Plate15,ENSMUSG00000019854,-0.303775938825484
23259,noB_Plate15,ENSMUSG00000019876,0.23631720913592602
23260,noB_Plate15,ENSMUSG00000019877,-0.238797646968508
23262,noB_Plate15,ENSMUSG00000019920,-0.427545787439571
23264,noB_Plate15,ENSMUSG00000019977,-0.599652424488619
23265,noB_Plate15,ENSMUSG00000019979,0.37614001444406203
23268,noB_Plate15,ENSMUSG00000019990,-1.18028159904602
23270,noB_Plate15,ENSMUSG00000020009,0.557644056825307
23271,noB_Plate15,ENSMUSG00000020024,-0.600038053363454
23272,noB_Plate15,ENSMUSG00000020027,-1.6226837974681398
23273,noB_Plate15,ENSMUSG00000020034,-0.5213613544289879
23276,noB_Plate15,ENSMUSG00000020100,0.46240156752539396
23278,noB_Plate15,ENSMUSG00000020116,0.20436567386155602
23279,noB_Plate15,ENSMUSG00000020120,-0.481546775322883
23280,noB_Plate15,ENSMUSG00000020125,2.3073263938832005
23282,noB_Plate15,ENSMUSG00000020160,-0.589086171533551
23283,noB_Plate15,ENSMUSG00000020175,-0.779524251967254
23284,noB_Plate15,ENSMUSG00000020225,-0.22159178134665303
23285,noB_Plate15,ENSMUSG00000020250,0.438985036929361
23286,noB_Plate15,ENSMUSG00000020261,0.496278362616639
23288,noB_Plate15,ENSMUSG00000020273,-0.514444891360339
23289,noB_Plate15,ENSMUSG00000020275,-0.357685127079141
23295,noB_Plate15,ENSMUSG00000020387,0.447531337789755
23296,noB_Plate15,ENSMUSG00000020399,-2.92254158465298
23298,noB_Plate15,ENSMUSG00000020432,-0.593546508841177
23299,noB_Plate15,ENSMUSG00000020439,0.7244150027598779
23300,noB_Plate15,ENSMUSG00000020473,-1.76015620514483
23301,noB_Plate15,ENSMUSG00000020474,-1.3160997257180702
23302,noB_Plate15,ENSMUSG00000020477,0.31367679103668106
23303,noB_Plate15,ENSMUSG00000020485,0.348465638093704
23304,noB_Plate15,ENSMUSG00000020526,0.357036176588622
23305,noB_Plate15,ENSMUSG00000020538,-0.261186799437471
23306,noB_Plate15,ENSMUSG00000020546,-0.597094118793806
23307,noB_Plate15,ENSMUSG00000020571,-0.26114431819266604
23309,noB_Plate15,ENSMUSG00000020577,-0.7367190079821441
23310,noB_Plate15,ENSMUSG00000020580,0.324098706827618
23311,noB_Plate15,ENSMUSG00000020593,-1.19208438497287
23313,noB_Plate15,ENSMUSG00000020638,0.947091665857418
23314,noB_Plate15,ENSMUSG00000020642,2.5233541313443597
23317,noB_Plate15,ENSMUSG00000020715,-0.264856369204127
23318,noB_Plate15,ENSMUSG00000020716,-0.27857593467092606
23319,noB_Plate15,ENSMUSG00000020717,1.01602757019355
23322,noB_Plate15,ENSMUSG00000020723,-4.21171829920031
23323,noB_Plate15,ENSMUSG00000020741,0.33084875724218393
23325,noB_Plate15,ENSMUSG00000020780,0.35071768565959605
23326,noB_Plate15,ENSMUSG00000020787,0.516937746138425
23327,noB_Plate15,ENSMUSG00000020817,-0.393504355117644
23328,noB_Plate15,ENSMUSG00000020821,-0.631105544536304
23329,noB_Plate15,ENSMUSG00000020893,-0.46878953983312505
23331,noB_Plate15,ENSMUSG00000020917,-0.26527131694962
23332,noB_Plate15,ENSMUSG00000020919,0.37064320568525105
23333,noB_Plate15,ENSMUSG00000020988,-0.42685711513790203
23335,noB_Plate15,ENSMUSG00000021003,-1.00793112028662
23337,noB_Plate15,ENSMUSG00000021037,0.243173611878622
23338,noB_Plate15,ENSMUSG00000021065,0.463830450084411
23339,noB_Plate15,ENSMUSG00000021068,0.484907114007763
23341,noB_Plate15,ENSMUSG00000021140,-0.4217332044963679
23346,noB_Plate15,ENSMUSG00000021192,-0.4223736393178
23347,noB_Plate15,ENSMUSG00000021194,-3.9168114990193303
23348,noB_Plate15,ENSMUSG00000021196,-0.364431744200854
23349,noB_Plate15,ENSMUSG00000021224,-0.6197132673995861
23350,noB_Plate15,ENSMUSG00000021226,-0.885742743260649
23351,noB_Plate15,ENSMUSG00000021228,-2.6623800801247595
23352,noB_Plate15,ENSMUSG00000021236,-0.555740927474539
23353,noB_Plate15,ENSMUSG00000021242,-0.299857268484448
23354,noB_Plate15,ENSMUSG00000021250,1.94284355584018
23356,noB_Plate15,ENSMUSG00000021273,-0.472290704617443
23357,noB_Plate15,ENSMUSG00000021285,-0.48670542599026895
23358,noB_Plate15,ENSMUSG00000021360,-1.99223601878944
23361,noB_Plate15,ENSMUSG00000021431,0.36006055091877104
23363,noB_Plate15,ENSMUSG00000021458,0.59227798184239
23364,noB_Plate15,ENSMUSG00000021477,-0.6398249122353461
23365,noB_Plate15,ENSMUSG00000021486,-0.23781855813042
23367,noB_Plate15,ENSMUSG00000021540,-0.40595469300294196
23368,noB_Plate15,ENSMUSG00000021549,-0.38853925668092104
23369,noB_Plate15,ENSMUSG00000021572,-0.532239698781464
23370,noB_Plate15,ENSMUSG00000021591,0.6379315200276171
23372,noB_Plate15,ENSMUSG00000021596,0.913116600866484
23373,noB_Plate15,ENSMUSG00000021614,-1.54799388277596
23374,noB_Plate15,ENSMUSG00000021624,0.42618864807429796
23375,noB_Plate15,ENSMUSG00000021636,-1.4474232009092
23376,noB_Plate15,ENSMUSG00000021670,-0.5916112775124761
23377,noB_Plate15,ENSMUSG00000021676,0.7405361999330041
23379,noB_Plate15,ENSMUSG00000021694,0.5101700170875
23380,noB_Plate15,ENSMUSG00000021696,-0.640747294744026
23381,noB_Plate15,ENSMUSG00000021703,-1.42364747067559
23383,noB_Plate15,ENSMUSG00000021725,0.725717781591063
23384,noB_Plate15,ENSMUSG00000021730,-2.76247092775571
23385,noB_Plate15,ENSMUSG00000021731,0.280575774111274
23387,noB_Plate15,ENSMUSG00000021758,-1.84213327250705
23388,noB_Plate15,ENSMUSG00000021779,-1.32957849190023
23389,noB_Plate15,ENSMUSG00000021785,-0.5235208835029861
23391,noB_Plate15,ENSMUSG00000021809,0.409512562063603
23392,noB_Plate15,ENSMUSG00000021814,-0.294497580080663
23395,noB_Plate15,ENSMUSG00000021876,-0.48629269696868205
23396,noB_Plate15,ENSMUSG00000021877,-0.277285918545286
23397,noB_Plate15,ENSMUSG00000021886,-0.654965006279795
23398,noB_Plate15,ENSMUSG00000021918,0.5605310628697939
23401,noB_Plate15,ENSMUSG00000021996,0.3212383207394
23403,noB_Plate15,ENSMUSG00000022010,0.6796423227379159
23404,noB_Plate15,ENSMUSG00000022014,-0.496578835536595
23405,noB_Plate15,ENSMUSG00000022018,1.11166784633821
23406,noB_Plate15,ENSMUSG00000022020,0.330352172270054
23407,noB_Plate15,ENSMUSG00000022089,0.36475112526219
23409,noB_Plate15,ENSMUSG00000022102,0.312388161989
23411,noB_Plate15,ENSMUSG00000022130,-0.483738561147321
23413,noB_Plate15,ENSMUSG00000022141,-0.260748290222778
23414,noB_Plate15,ENSMUSG00000022150,1.09418470659045
23415,noB_Plate15,ENSMUSG00000022175,0.24412025716858105
23419,noB_Plate15,ENSMUSG00000022255,0.245300624286821
23421,noB_Plate15,ENSMUSG00000022309,-1.3579632300356002
23422,noB_Plate15,ENSMUSG00000022353,0.614001742907411
23426,noB_Plate15,ENSMUSG00000022378,0.43550361384137
23431,noB_Plate15,ENSMUSG00000022453,-0.42341912375528
23432,noB_Plate15,ENSMUSG00000022475,0.311199859446736
23438,noB_Plate15,ENSMUSG00000022565,0.38015148866658793
23439,noB_Plate15,ENSMUSG00000022587,0.244589449962506
23440,noB_Plate15,ENSMUSG00000022604,-0.31503284301448
