,SLX.13007.i701_i502,SLX.13007.i701_i503
ENSMUSG00000001829,127,77
ENSMUSG00000001833,419,326
ENSMUSG00000001844,127,74
ENSMUSG00000001847,402,297
ENSMUSG00000001855,295,316
ENSMUSG00000001865,3,2
ENSMUSG00000001891,78,62
ENSMUSG00000001909,213,170
ENSMUSG00000001910,255,205
ENSMUSG00000001911,29,30
ENSMUSG00000001918,199,208
ENSMUSG00000001924,776,697
ENSMUSG00000001930,9,9
ENSMUSG00000001942,101,102
ENSMUSG00000001943,8,4
ENSMUSG00000001946,2,0
ENSMUSG00000001948,11,2
ENSMUSG00000001962,132,72
ENSMUSG00000001964,18,12
ENSMUSG00000001983,13,25
ENSMUSG00000001986,576,500
ENSMUSG00000001988,21,13
ENSMUSG00000001995,5,15
ENSMUSG00000001998,41,41
ENSMUSG00000001999,81,83
ENSMUSG00000002006,0,0
ENSMUSG00000002007,0,0
ENSMUSG00000002010,629,470
ENSMUSG00000002014,427,283
ENSMUSG00000002015,507,445
ENSMUSG00000002017,44,39
ENSMUSG00000002020,3,0
ENSMUSG00000002028,355,306
ENSMUSG00000002031,37,31
ENSMUSG00000002043,140,111
ENSMUSG00000002052,216,196
ENSMUSG00000002055,108,160
ENSMUSG00000002058,100,72
ENSMUSG00000002059,2,1
ENSMUSG00000002064,97,122
ENSMUSG00000002068,58,31
ENSMUSG00000002083,6,9
ENSMUSG00000002102,434,332
ENSMUSG00000002103,47,62
ENSMUSG00000002104,33,21
ENSMUSG00000002105,39,24
ENSMUSG00000002107,484,418
ENSMUSG00000002109,8,0
ENSMUSG00000002111,178,154
ENSMUSG00000002129,324,294
ENSMUSG00000002147,137,125
ENSMUSG00000002204,306,206
ENSMUSG00000002205,91,69
ENSMUSG00000002210,53,21
ENSMUSG00000002221,168,164
ENSMUSG00000002222,213,175
ENSMUSG00000002227,49,56
ENSMUSG00000002250,21,16
ENSMUSG00000002257,188,179
ENSMUSG00000002274,4,0
ENSMUSG00000002279,73,50
ENSMUSG00000002280,68,68
ENSMUSG00000002289,75,68
ENSMUSG00000002297,163,178
ENSMUSG00000002307,53,53
ENSMUSG00000002308,110,94
ENSMUSG00000002319,80,58
ENSMUSG00000002320,106,88
ENSMUSG00000002325,21,19
ENSMUSG00000002326,46,33
ENSMUSG00000002329,63,53
ENSMUSG00000002332,50,59
ENSMUSG00000002342,66,62
ENSMUSG00000002343,10,18
ENSMUSG00000002345,57,48
ENSMUSG00000002346,7,3
ENSMUSG00000002365,194,174
ENSMUSG00000002372,190,102
ENSMUSG00000002379,129,87
ENSMUSG00000002393,15,12
ENSMUSG00000002395,194,137
ENSMUSG00000002396,19,31
ENSMUSG00000002409,12,18
ENSMUSG00000002413,111,90
ENSMUSG00000002416,46,38
ENSMUSG00000002428,72,46
ENSMUSG00000002455,172,174
ENSMUSG00000002458,200,157
ENSMUSG00000002477,213,143
ENSMUSG00000002486,59,42
ENSMUSG00000002489,101,140
ENSMUSG00000002496,152,110
ENSMUSG00000002500,2,4
ENSMUSG00000002504,20,8
ENSMUSG00000002524,359,287
ENSMUSG00000002546,63,62
ENSMUSG00000002550,30,31
ENSMUSG00000002565,8,1
ENSMUSG00000002580,37,21
ENSMUSG00000002603,350,334
ENSMUSG00000002608,89,100
ENSMUSG00000002617,19,10
ENSMUSG00000002625,58,36
ENSMUSG00000002635,81,68
ENSMUSG00000002658,245,257
ENSMUSG00000002660,148,97
ENSMUSG00000002661,25,18
ENSMUSG00000002668,45,53
ENSMUSG00000002679,42,29
ENSMUSG00000002699,11,4
ENSMUSG00000002718,327,392
ENSMUSG00000002728,85,45
ENSMUSG00000002731,33,35
ENSMUSG00000002732,12,8
ENSMUSG00000002733,56,43
ENSMUSG00000002741,37,58
ENSMUSG00000002748,604,543
ENSMUSG00000002763,92,82
ENSMUSG00000002767,180,127
ENSMUSG00000002768,98,86
ENSMUSG00000002778,91,72
ENSMUSG00000002781,7,6
ENSMUSG00000002797,2,3
ENSMUSG00000002799,23,15
ENSMUSG00000002803,26,26
ENSMUSG00000002804,69,29
ENSMUSG00000002812,180,190
ENSMUSG00000002814,59,103
ENSMUSG00000002820,46,21
ENSMUSG00000002825,66,31
ENSMUSG00000002831,1,4
ENSMUSG00000002833,123,97
ENSMUSG00000002835,175,151
ENSMUSG00000002844,177,144
ENSMUSG00000002845,102,84
ENSMUSG00000002846,24,16
ENSMUSG00000002870,773,680
ENSMUSG00000002871,64,48
ENSMUSG00000002881,85,73
ENSMUSG00000002885,29,26
ENSMUSG00000002897,268,272
ENSMUSG00000002910,24,18
ENSMUSG00000002944,14,6
ENSMUSG00000002948,54,18
ENSMUSG00000002949,129,96
ENSMUSG00000002957,124,96
ENSMUSG00000002963,63,48
ENSMUSG00000002968,96,79
ENSMUSG00000002981,138,121
ENSMUSG00000002983,10,8
ENSMUSG00000002984,269,216
ENSMUSG00000002985,10,9
ENSMUSG00000002996,121,80
ENSMUSG00000002997,152,130
ENSMUSG00000003031,26,28
ENSMUSG00000003032,5,6
ENSMUSG00000003033,295,239
ENSMUSG00000003037,234,167
ENSMUSG00000003038,148,95
ENSMUSG00000003039,352,277
ENSMUSG00000003062,40,18
ENSMUSG00000003068,117,64
ENSMUSG00000003072,493,391
ENSMUSG00000003099,215,202
ENSMUSG00000003119,138,112
ENSMUSG00000003123,29,15
ENSMUSG00000003131,296,267
ENSMUSG00000003134,1,2
ENSMUSG00000003135,109,74
ENSMUSG00000003153,49,33
ENSMUSG00000003154,14,15
ENSMUSG00000003161,284,197
ENSMUSG00000003166,114,102
ENSMUSG00000003184,117,87
ENSMUSG00000003190,22,22
ENSMUSG00000003198,14,11
ENSMUSG00000003199,166,122
ENSMUSG00000003200,160,154
ENSMUSG00000003206,8,12
ENSMUSG00000003208,26,17
ENSMUSG00000003226,720,666
ENSMUSG00000003233,78,108
ENSMUSG00000003234,73,26
ENSMUSG00000003235,236,166
ENSMUSG00000003269,83,87
ENSMUSG00000003271,1,0
ENSMUSG00000003283,122,114
ENSMUSG00000003299,118,102
ENSMUSG00000003308,96,75
ENSMUSG00000003316,450,481
ENSMUSG00000003344,56,53
ENSMUSG00000003345,256,227
ENSMUSG00000003346,227,135
ENSMUSG00000003348,42,46
ENSMUSG00000003355,30,18
ENSMUSG00000003360,83,85
ENSMUSG00000003363,61,49
ENSMUSG00000003378,14,9
ENSMUSG00000003379,20,16
ENSMUSG00000003380,177,86
ENSMUSG00000003382,51,42
ENSMUSG00000003402,296,250
ENSMUSG00000003420,15,1
ENSMUSG00000003421,117,89
ENSMUSG00000003423,125,120
ENSMUSG00000003429,734,546
ENSMUSG00000003435,239,249
ENSMUSG00000003437,124,92
ENSMUSG00000003438,234,228
ENSMUSG00000003444,24,14
ENSMUSG00000003452,63,46
ENSMUSG00000003458,244,201
ENSMUSG00000003464,134,101
ENSMUSG00000003484,16,7
ENSMUSG00000003500,532,532
ENSMUSG00000003518,45,25
ENSMUSG00000003526,67,49
ENSMUSG00000003527,75,36
ENSMUSG00000003528,366,283
ENSMUSG00000003531,98,47
ENSMUSG00000003541,6,7
ENSMUSG00000003545,0,0
ENSMUSG00000003546,67,56
ENSMUSG00000003549,52,31
ENSMUSG00000003573,26,17
ENSMUSG00000003575,80,81
ENSMUSG00000003581,12,11
ENSMUSG00000003604,44,56
ENSMUSG00000003623,62,70
ENSMUSG00000003644,287,273
ENSMUSG00000003660,569,531
ENSMUSG00000003662,102,66
ENSMUSG00000003680,152,145
ENSMUSG00000003721,50,18
ENSMUSG00000003731,63,61
ENSMUSG00000003746,114,91
ENSMUSG00000003752,7,14
ENSMUSG00000003762,36,29
ENSMUSG00000003778,221,257
ENSMUSG00000003779,127,105
ENSMUSG00000003808,270,236
ENSMUSG00000003809,35,44
ENSMUSG00000003810,71,123
ENSMUSG00000003812,147,129
ENSMUSG00000003813,142,96
ENSMUSG00000003814,1405,1171
ENSMUSG00000003824,204,187
ENSMUSG00000003847,138,121
ENSMUSG00000003848,144,143
ENSMUSG00000003865,124,73
ENSMUSG00000003868,548,436
ENSMUSG00000003873,93,66
ENSMUSG00000003882,67,92
ENSMUSG00000003923,161,70
ENSMUSG00000003929,32,46
ENSMUSG00000003948,23,28
ENSMUSG00000003949,124,152
ENSMUSG00000003955,155,106
ENSMUSG00000003970,3546,2633
ENSMUSG00000003992,264,186
ENSMUSG00000004018,48,44
ENSMUSG00000004032,1,0
ENSMUSG00000004040,218,144
ENSMUSG00000004043,74,84
ENSMUSG00000004054,88,67
ENSMUSG00000004056,67,50
ENSMUSG00000004069,129,99
ENSMUSG00000004070,168,129
ENSMUSG00000004071,104,50
ENSMUSG00000004085,128,106
ENSMUSG00000004096,179,178
ENSMUSG00000004099,704,626
ENSMUSG00000004100,199,222
ENSMUSG00000004105,228,187
ENSMUSG00000004113,57,41
ENSMUSG00000004127,32,19
ENSMUSG00000004207,375,363
ENSMUSG00000004221,78,65
ENSMUSG00000004233,32,19
ENSMUSG00000004264,543,336
ENSMUSG00000004266,359,281
ENSMUSG00000004268,396,323
ENSMUSG00000004270,182,188
ENSMUSG00000004285,234,122
ENSMUSG00000004317,8,14
ENSMUSG00000004319,67,44
ENSMUSG00000004356,265,182
ENSMUSG00000004364,357,310
ENSMUSG00000004393,174,127
ENSMUSG00000004394,130,81
ENSMUSG00000004415,5,3
ENSMUSG00000004446,304,167
ENSMUSG00000004451,101,86
ENSMUSG00000004455,18,9
ENSMUSG00000004460,241,210
ENSMUSG00000004462,57,48
ENSMUSG00000004473,1,6
ENSMUSG00000004500,21,44
ENSMUSG00000004508,110,124
ENSMUSG00000004530,151,109
ENSMUSG00000004535,829,691
ENSMUSG00000004552,0,1
ENSMUSG00000004561,32,38
ENSMUSG00000004565,40,41
ENSMUSG00000004567,50,37
ENSMUSG00000004568,174,166
ENSMUSG00000004591,189,132
ENSMUSG00000004609,1383,1210
ENSMUSG00000004610,238,150
ENSMUSG00000004612,38,33
ENSMUSG00000004626,275,188
ENSMUSG00000004637,24,23
ENSMUSG00000004642,221,165
ENSMUSG00000004655,0,1
ENSMUSG00000004661,12,16
ENSMUSG00000004665,131,100
ENSMUSG00000004667,269,230
ENSMUSG00000004677,192,217
ENSMUSG00000004698,265,204
ENSMUSG00000004707,57,23
ENSMUSG00000004709,153,125
ENSMUSG00000004730,0,0
ENSMUSG00000004748,3,2
ENSMUSG00000004771,143,129
ENSMUSG00000004788,126,122
ENSMUSG00000004789,364,309
ENSMUSG00000004798,91,64
ENSMUSG00000004815,6,14
ENSMUSG00000004837,9,11
ENSMUSG00000004843,104,71
ENSMUSG00000004846,90,72
ENSMUSG00000004849,180,129
ENSMUSG00000004864,6,2
ENSMUSG00000004865,332,236
ENSMUSG00000004880,533,601
ENSMUSG00000004891,5,2
ENSMUSG00000004895,55,52
ENSMUSG00000004896,43,21
ENSMUSG00000004897,1026,956
ENSMUSG00000004929,118,82
ENSMUSG00000004931,37,41
ENSMUSG00000004933,14,18
ENSMUSG00000004934,71,44
ENSMUSG00000004936,125,106
ENSMUSG00000004937,145,124
ENSMUSG00000004945,53,30
ENSMUSG00000004947,12,20
ENSMUSG00000004952,35,22
ENSMUSG00000004980,2893,2216
ENSMUSG00000004994,16,17
ENSMUSG00000004996,202,136
ENSMUSG00000005034,178,126
ENSMUSG00000005043,17,34
ENSMUSG00000005054,83,55
ENSMUSG00000005057,43,33
ENSMUSG00000005069,85,76
ENSMUSG00000005078,63,35
ENSMUSG00000005087,700,516
ENSMUSG00000005102,58,57
ENSMUSG00000005103,493,320
ENSMUSG00000005107,9,11
ENSMUSG00000005125,166,126
ENSMUSG00000005142,293,236
ENSMUSG00000005150,90,55
ENSMUSG00000005161,687,477
ENSMUSG00000005198,741,702
ENSMUSG00000005204,131,80
ENSMUSG00000005233,130,134
ENSMUSG00000005262,106,67
ENSMUSG00000005267,2,3
ENSMUSG00000005299,137,126
ENSMUSG00000005312,250,243
ENSMUSG00000005354,293,222
ENSMUSG00000005362,84,56
ENSMUSG00000005370,228,214
ENSMUSG00000005371,157,83
ENSMUSG00000005374,85,51
ENSMUSG00000005378,120,90
ENSMUSG00000005410,726,690
ENSMUSG00000005413,12,11
ENSMUSG00000005417,191,142
ENSMUSG00000005442,113,122
ENSMUSG00000005447,40,28
ENSMUSG00000005465,16,12
ENSMUSG00000005469,38,42
ENSMUSG00000005470,137,122
ENSMUSG00000005481,521,319
ENSMUSG00000005483,146,89
ENSMUSG00000005501,74,46
ENSMUSG00000005505,19,27
ENSMUSG00000005506,325,320
ENSMUSG00000005510,138,77
ENSMUSG00000005514,291,227
ENSMUSG00000005534,115,105
ENSMUSG00000005566,1030,911
ENSMUSG00000005575,203,149
ENSMUSG00000005580,15,4
ENSMUSG00000005583,549,442
ENSMUSG00000005609,181,136
ENSMUSG00000005610,1612,1290
ENSMUSG00000005611,1,3
ENSMUSG00000005615,257,203
ENSMUSG00000005621,139,154
ENSMUSG00000005625,336,340
ENSMUSG00000005656,202,166
ENSMUSG00000005667,105,118
ENSMUSG00000005672,388,343
ENSMUSG00000005674,24,9
ENSMUSG00000005681,2,1
ENSMUSG00000005682,96,65
ENSMUSG00000005683,532,457
ENSMUSG00000005687,250,144
ENSMUSG00000005698,487,400
ENSMUSG00000005699,30,19
ENSMUSG00000005718,19,16
ENSMUSG00000005732,495,321
ENSMUSG00000005774,29,40
ENSMUSG00000005779,418,324
ENSMUSG00000005800,98,45
ENSMUSG00000005803,6,3
ENSMUSG00000005804,52,55
ENSMUSG00000005813,158,109
ENSMUSG00000005823,99,93
ENSMUSG00000005824,7,0
ENSMUSG00000005846,669,509
ENSMUSG00000005871,190,198
ENSMUSG00000005873,163,124
ENSMUSG00000005881,324,236
ENSMUSG00000005882,95,78
ENSMUSG00000005886,175,135
ENSMUSG00000005893,195,141
ENSMUSG00000005897,14,33
ENSMUSG00000005899,164,97
ENSMUSG00000005907,82,60
ENSMUSG00000005936,162,127
ENSMUSG00000005947,2,3
ENSMUSG00000005949,19,29
ENSMUSG00000005968,13,21
ENSMUSG00000005973,105,92
ENSMUSG00000005980,31,19
ENSMUSG00000005981,451,348
ENSMUSG00000005982,110,73
ENSMUSG00000005983,5,4
ENSMUSG00000005986,14,8
ENSMUSG00000006005,818,709
ENSMUSG00000006010,120,82
ENSMUSG00000006019,39,44
ENSMUSG00000006021,33,32
ENSMUSG00000006024,330,219
ENSMUSG00000006050,136,95
ENSMUSG00000006057,30,26
ENSMUSG00000006058,104,79
ENSMUSG00000006095,188,116
ENSMUSG00000006127,103,107
ENSMUSG00000006134,132,169
ENSMUSG00000006154,14,21
ENSMUSG00000006169,255,223
ENSMUSG00000006179,109,119
ENSMUSG00000006191,44,46
ENSMUSG00000006215,72,46
ENSMUSG00000006262,62,48
ENSMUSG00000006273,345,345
ENSMUSG00000006276,161,90
ENSMUSG00000006281,127,115
ENSMUSG00000006288,102,88
ENSMUSG00000006289,171,165
ENSMUSG00000006299,288,279
ENSMUSG00000006301,105,89
ENSMUSG00000006304,1503,1243
ENSMUSG00000006307,110,80
ENSMUSG00000006315,242,135
ENSMUSG00000006333,1560,1200
ENSMUSG00000006335,19,21
ENSMUSG00000006344,7,2
ENSMUSG00000006356,2,3
ENSMUSG00000006360,121,104
ENSMUSG00000006362,127,143
ENSMUSG00000006373,218,156
ENSMUSG00000006378,34,37
ENSMUSG00000006390,259,145
ENSMUSG00000006392,111,106
