,SLX.13007.i701_i502,SLX.13007.i701_i503
ENSMUSG00000024487,66,66
ENSMUSG00000024491,169,112
ENSMUSG00000024493,304,262
ENSMUSG00000024498,370,336
ENSMUSG00000024505,9,8
ENSMUSG00000024507,148,87
ENSMUSG00000024513,83,89
ENSMUSG00000024515,121,119
ENSMUSG00000024516,475,293
ENSMUSG00000024521,72,51
ENSMUSG00000024524,25,23
ENSMUSG00000024525,196,137
ENSMUSG00000024527,104,103
ENSMUSG00000024528,52,65
ENSMUSG00000024533,17,18
ENSMUSG00000024535,7,3
ENSMUSG00000024537,171,128
ENSMUSG00000024538,0,2
ENSMUSG00000024539,131,110
ENSMUSG00000024542,272,242
ENSMUSG00000024544,26,8
ENSMUSG00000024556,238,166
ENSMUSG00000024560,79,73
ENSMUSG00000024561,162,128
ENSMUSG00000024563,88,117
ENSMUSG00000024566,72,82
ENSMUSG00000024570,133,90
ENSMUSG00000024571,455,326
ENSMUSG00000024576,613,541
ENSMUSG00000024579,105,72
ENSMUSG00000024580,64,39
ENSMUSG00000024581,23,30
ENSMUSG00000024583,353,273
ENSMUSG00000024587,455,294
ENSMUSG00000024588,56,36
ENSMUSG00000024589,41,44
ENSMUSG00000024590,93,151
ENSMUSG00000024592,18,7
ENSMUSG00000024594,96,76
ENSMUSG00000024597,25,4
ENSMUSG00000024601,273,218
ENSMUSG00000024603,123,111
ENSMUSG00000024604,123,97
ENSMUSG00000024608,1551,1119
ENSMUSG00000024613,179,130
ENSMUSG00000024614,137,140
ENSMUSG00000024621,0,0
ENSMUSG00000024622,52,57
ENSMUSG00000024639,70,72
ENSMUSG00000024640,1823,1403
ENSMUSG00000024642,180,154
ENSMUSG00000024644,106,104
ENSMUSG00000024645,86,65
ENSMUSG00000024646,206,86
ENSMUSG00000024654,212,128
ENSMUSG00000024659,187,140
ENSMUSG00000024660,178,191
ENSMUSG00000024661,2317,1709
ENSMUSG00000024663,5,0
ENSMUSG00000024664,12,1
ENSMUSG00000024665,37,28
ENSMUSG00000024666,88,81
ENSMUSG00000024667,41,25
ENSMUSG00000024668,97,92
ENSMUSG00000024672,0,0
ENSMUSG00000024677,29,12
ENSMUSG00000024678,2,0
ENSMUSG00000024679,4,1
ENSMUSG00000024680,0,0
ENSMUSG00000024681,227,135
ENSMUSG00000024683,110,72
ENSMUSG00000024687,194,212
ENSMUSG00000024691,467,447
ENSMUSG00000024695,260,232
ENSMUSG00000024696,39,30
ENSMUSG00000024697,1,0
ENSMUSG00000024712,90,79
ENSMUSG00000024725,234,184
ENSMUSG00000024726,10,5
ENSMUSG00000024732,75,50
ENSMUSG00000024735,121,131
ENSMUSG00000024736,6,3
ENSMUSG00000024740,708,651
ENSMUSG00000024742,20,15
ENSMUSG00000024750,128,124
ENSMUSG00000024754,26,23
ENSMUSG00000024758,410,367
ENSMUSG00000024759,228,224
ENSMUSG00000024764,137,150
ENSMUSG00000024766,29,16
ENSMUSG00000024767,173,109
ENSMUSG00000024769,15,6
ENSMUSG00000024772,83,69
ENSMUSG00000024773,83,113
ENSMUSG00000024776,24,24
ENSMUSG00000024777,12,3
ENSMUSG00000024780,144,112
ENSMUSG00000024781,118,69
ENSMUSG00000024782,92,99
ENSMUSG00000024784,2,1
ENSMUSG00000024785,127,94
ENSMUSG00000024787,29,35
ENSMUSG00000024789,77,45
ENSMUSG00000024790,47,37
ENSMUSG00000024791,141,91
ENSMUSG00000024792,40,54
ENSMUSG00000024795,284,209
ENSMUSG00000024797,8,9
ENSMUSG00000024799,45,17
ENSMUSG00000024800,97,93
ENSMUSG00000024805,187,176
ENSMUSG00000024807,105,93
ENSMUSG00000024810,2,3
ENSMUSG00000024811,242,225
ENSMUSG00000024812,81,52
ENSMUSG00000024816,116,124
ENSMUSG00000024817,206,126
ENSMUSG00000024818,74,61
ENSMUSG00000024824,56,43
ENSMUSG00000024826,141,124
ENSMUSG00000024829,98,98
ENSMUSG00000024830,34,22
ENSMUSG00000024831,36,33
ENSMUSG00000024833,153,110
ENSMUSG00000024835,330,283
ENSMUSG00000024841,296,258
ENSMUSG00000024843,115,52
ENSMUSG00000024844,612,440
ENSMUSG00000024845,134,95
ENSMUSG00000024847,199,139
ENSMUSG00000024851,110,116
ENSMUSG00000024853,597,498
ENSMUSG00000024854,77,55
ENSMUSG00000024855,83,80
ENSMUSG00000024856,251,143
ENSMUSG00000024858,457,443
ENSMUSG00000024862,3,10
ENSMUSG00000024866,1,2
ENSMUSG00000024867,3,6
ENSMUSG00000024868,0,1
ENSMUSG00000024870,274,216
ENSMUSG00000024875,87,48
ENSMUSG00000024878,21,13
ENSMUSG00000024885,1,4
ENSMUSG00000024887,4,3
ENSMUSG00000024889,79,60
ENSMUSG00000024891,15,24
ENSMUSG00000024892,4,4
ENSMUSG00000024896,122,65
ENSMUSG00000024899,39,55
ENSMUSG00000024900,191,153
ENSMUSG00000024902,87,68
ENSMUSG00000024905,8,2
ENSMUSG00000024906,43,15
ENSMUSG00000024908,316,246
ENSMUSG00000024909,6,0
ENSMUSG00000024910,0,0
ENSMUSG00000024911,95,55
ENSMUSG00000024912,7,0
ENSMUSG00000024913,214,212
ENSMUSG00000024914,98,99
ENSMUSG00000024921,43,35
ENSMUSG00000024925,120,118
ENSMUSG00000024926,43,56
ENSMUSG00000024927,107,104
ENSMUSG00000024936,0,1
ENSMUSG00000024937,97,114
ENSMUSG00000024940,51,63
ENSMUSG00000024941,76,60
ENSMUSG00000024942,56,59
ENSMUSG00000024943,124,121
ENSMUSG00000024944,110,81
ENSMUSG00000024947,129,106
ENSMUSG00000024948,95,81
ENSMUSG00000024949,474,455
ENSMUSG00000024952,36,47
ENSMUSG00000024953,249,205
ENSMUSG00000024955,13,10
ENSMUSG00000024958,29,25
ENSMUSG00000024959,62,42
ENSMUSG00000024960,42,59
ENSMUSG00000024962,92,71
ENSMUSG00000024963,23,16
ENSMUSG00000024965,665,525
ENSMUSG00000024966,444,406
ENSMUSG00000024968,11,12
ENSMUSG00000024969,100,93
ENSMUSG00000024970,6,3
ENSMUSG00000024974,463,512
ENSMUSG00000024975,146,132
ENSMUSG00000024976,69,49
ENSMUSG00000024978,17,12
ENSMUSG00000024981,526,474
ENSMUSG00000024982,98,86
ENSMUSG00000024983,51,56
ENSMUSG00000024985,55,43
ENSMUSG00000024986,170,150
ENSMUSG00000024989,127,90
ENSMUSG00000024991,1282,1159
ENSMUSG00000024993,40,21
ENSMUSG00000024997,233,214
ENSMUSG00000024999,46,44
ENSMUSG00000025001,261,206
ENSMUSG00000025006,7,2
ENSMUSG00000025007,95,74
ENSMUSG00000025008,31,25
ENSMUSG00000025010,6,13
ENSMUSG00000025014,550,394
ENSMUSG00000025016,692,551
ENSMUSG00000025017,128,115
ENSMUSG00000025019,50,54
ENSMUSG00000025024,69,47
ENSMUSG00000025025,71,66
ENSMUSG00000025026,93,68
ENSMUSG00000025027,138,137
ENSMUSG00000025034,107,113
ENSMUSG00000025035,10,8
ENSMUSG00000025036,32,21
ENSMUSG00000025040,91,71
ENSMUSG00000025041,163,129
ENSMUSG00000025047,104,71
ENSMUSG00000025049,28,37
ENSMUSG00000025050,58,37
ENSMUSG00000025058,56,45
ENSMUSG00000025059,114,52
ENSMUSG00000025060,504,524
ENSMUSG00000025064,1,1
ENSMUSG00000025066,340,215
ENSMUSG00000025068,419,339
ENSMUSG00000025076,159,129
ENSMUSG00000025077,47,52
ENSMUSG00000025078,72,63
ENSMUSG00000025085,177,175
ENSMUSG00000025086,66,58
ENSMUSG00000025089,352,402
ENSMUSG00000025094,43,12
ENSMUSG00000025102,36,30
ENSMUSG00000025103,65,82
ENSMUSG00000025104,20,23
ENSMUSG00000025127,0,0
ENSMUSG00000025130,1537,1399
ENSMUSG00000025132,603,547
ENSMUSG00000025133,153,136
ENSMUSG00000025134,424,345
ENSMUSG00000025135,71,70
ENSMUSG00000025137,177,142
ENSMUSG00000025138,133,102
ENSMUSG00000025139,86,82
ENSMUSG00000025140,40,41
ENSMUSG00000025142,97,83
ENSMUSG00000025144,78,87
ENSMUSG00000025145,54,36
ENSMUSG00000025147,133,90
ENSMUSG00000025153,910,844
ENSMUSG00000025154,80,87
ENSMUSG00000025155,189,106
ENSMUSG00000025156,41,30
ENSMUSG00000025157,51,45
ENSMUSG00000025158,18,28
ENSMUSG00000025159,123,94
ENSMUSG00000025161,19,16
ENSMUSG00000025162,159,145
ENSMUSG00000025169,45,32
ENSMUSG00000025171,46,35
ENSMUSG00000025173,120,91
ENSMUSG00000025178,106,62
ENSMUSG00000025184,45,32
ENSMUSG00000025188,112,106
ENSMUSG00000025190,62,22
ENSMUSG00000025192,22,41
ENSMUSG00000025193,41,20
ENSMUSG00000025194,10,0
ENSMUSG00000025195,23,35
ENSMUSG00000025198,97,82
ENSMUSG00000025199,84,76
ENSMUSG00000025200,76,56
ENSMUSG00000025203,1300,1203
ENSMUSG00000025204,372,205
ENSMUSG00000025208,185,122
ENSMUSG00000025209,48,51
ENSMUSG00000025212,62,37
ENSMUSG00000025217,78,40
ENSMUSG00000025218,62,58
ENSMUSG00000025220,177,137
ENSMUSG00000025223,184,118
ENSMUSG00000025224,207,191
ENSMUSG00000025225,33,34
ENSMUSG00000025226,15,11
ENSMUSG00000025227,51,58
ENSMUSG00000025228,179,117
ENSMUSG00000025231,42,39
ENSMUSG00000025232,389,325
ENSMUSG00000025234,200,159
ENSMUSG00000025235,7,14
ENSMUSG00000025236,127,83
ENSMUSG00000025237,51,52
ENSMUSG00000025239,115,99
ENSMUSG00000025240,53,47
ENSMUSG00000025241,61,65
ENSMUSG00000025243,2,0
ENSMUSG00000025245,28,17
ENSMUSG00000025246,226,257
ENSMUSG00000025257,19,12
ENSMUSG00000025260,292,194
ENSMUSG00000025261,1105,943
ENSMUSG00000025262,20,19
ENSMUSG00000025264,69,56
ENSMUSG00000025265,3,3
ENSMUSG00000025266,164,144
ENSMUSG00000025268,5,12
ENSMUSG00000025269,48,41
ENSMUSG00000025270,4,1
ENSMUSG00000025271,17,4
ENSMUSG00000025277,51,44
ENSMUSG00000025278,518,461
ENSMUSG00000025280,94,67
ENSMUSG00000025283,44,30
ENSMUSG00000025287,62,28
ENSMUSG00000025289,352,218
ENSMUSG00000025290,518,325
ENSMUSG00000025314,36,36
ENSMUSG00000025316,57,48
ENSMUSG00000025323,17,17
ENSMUSG00000025324,179,141
ENSMUSG00000025326,237,219
ENSMUSG00000025332,281,324
ENSMUSG00000025337,150,87
ENSMUSG00000025340,24,22
ENSMUSG00000025350,5,5
ENSMUSG00000025351,328,237
ENSMUSG00000025352,11,11
ENSMUSG00000025353,59,25
ENSMUSG00000025354,45,43
ENSMUSG00000025355,4,10
ENSMUSG00000025357,42,25
ENSMUSG00000025358,180,157
ENSMUSG00000025359,1,4
ENSMUSG00000025362,333,247
ENSMUSG00000025364,885,719
ENSMUSG00000025366,340,262
ENSMUSG00000025369,203,188
ENSMUSG00000025371,111,81
ENSMUSG00000025372,32,15
ENSMUSG00000025373,54,76
ENSMUSG00000025374,44,45
ENSMUSG00000025375,13,16
ENSMUSG00000025377,17,30
ENSMUSG00000025381,294,177
ENSMUSG00000025384,40,45
ENSMUSG00000025393,3606,2875
ENSMUSG00000025395,196,136
ENSMUSG00000025402,24,29
ENSMUSG00000025403,534,455
ENSMUSG00000025404,98,117
ENSMUSG00000025408,16,8
ENSMUSG00000025409,53,41
ENSMUSG00000025410,264,161
ENSMUSG00000025413,110,88
ENSMUSG00000025417,32,43
ENSMUSG00000025420,3,6
ENSMUSG00000025421,123,88
ENSMUSG00000025422,46,54
ENSMUSG00000025423,133,107
ENSMUSG00000025428,2674,1979
ENSMUSG00000025429,0,5
ENSMUSG00000025436,54,34
ENSMUSG00000025437,40,52
ENSMUSG00000025439,265,207
ENSMUSG00000025450,2,3
ENSMUSG00000025451,55,56
ENSMUSG00000025453,20,6
ENSMUSG00000025464,23,27
ENSMUSG00000025465,296,211
ENSMUSG00000025466,9,3
ENSMUSG00000025470,62,34
ENSMUSG00000025473,5,2
ENSMUSG00000025474,189,148
ENSMUSG00000025477,16,21
ENSMUSG00000025484,41,26
ENSMUSG00000025485,149,142
ENSMUSG00000025486,204,115
ENSMUSG00000025487,195,217
ENSMUSG00000025491,444,259
ENSMUSG00000025492,285,198
ENSMUSG00000025494,268,265
ENSMUSG00000025495,73,45
ENSMUSG00000025498,3,0
ENSMUSG00000025499,138,101
ENSMUSG00000025503,461,407
ENSMUSG00000025505,19,22
ENSMUSG00000025507,56,42
ENSMUSG00000025508,462,278
ENSMUSG00000025509,184,151
ENSMUSG00000025510,73,56
ENSMUSG00000025511,117,82
ENSMUSG00000025512,88,63
ENSMUSG00000025521,56,42
ENSMUSG00000025525,83,80
ENSMUSG00000025531,34,39
ENSMUSG00000025532,87,46
ENSMUSG00000025533,85,51
ENSMUSG00000025534,674,593
ENSMUSG00000025538,49,30
ENSMUSG00000025544,356,342
ENSMUSG00000025545,42,25
ENSMUSG00000025555,19,13
ENSMUSG00000025558,19,24
ENSMUSG00000025571,108,102
ENSMUSG00000025572,95,67
ENSMUSG00000025574,148,170
ENSMUSG00000025575,67,49
ENSMUSG00000025577,60,75
ENSMUSG00000025578,18,26
ENSMUSG00000025579,204,180
ENSMUSG00000025580,685,490
ENSMUSG00000025583,278,179
ENSMUSG00000025584,66,40
ENSMUSG00000025591,42,32
ENSMUSG00000025602,19,7
ENSMUSG00000025607,68,74
ENSMUSG00000025609,225,127
ENSMUSG00000025612,40,69
ENSMUSG00000025613,1551,1237
ENSMUSG00000025616,193,112
ENSMUSG00000025626,128,135
ENSMUSG00000025630,411,339
ENSMUSG00000025645,38,35
ENSMUSG00000025646,50,61
ENSMUSG00000025647,52,49
ENSMUSG00000025648,19,27
ENSMUSG00000025650,0,0
ENSMUSG00000025651,770,622
ENSMUSG00000025701,2,2
ENSMUSG00000025702,76,61
ENSMUSG00000025722,87,73
ENSMUSG00000025724,246,162
ENSMUSG00000025728,193,105
ENSMUSG00000025730,17,29
ENSMUSG00000025731,59,54
ENSMUSG00000025732,45,19
ENSMUSG00000025733,21,14
ENSMUSG00000025736,46,42
ENSMUSG00000025737,44,60
ENSMUSG00000025742,169,150
ENSMUSG00000025745,216,246
ENSMUSG00000025746,38,18
ENSMUSG00000025747,317,252
ENSMUSG00000025757,61,68
ENSMUSG00000025758,169,152
ENSMUSG00000025759,35,33
ENSMUSG00000025762,9,17
ENSMUSG00000025764,159,125
ENSMUSG00000025766,44,31
ENSMUSG00000025779,8,11
ENSMUSG00000025780,48,50
ENSMUSG00000025781,883,621
ENSMUSG00000025782,100,64
ENSMUSG00000025785,245,199
ENSMUSG00000025786,196,202
ENSMUSG00000025790,54,41
ENSMUSG00000025791,160,130
ENSMUSG00000025792,66,79
ENSMUSG00000025794,652,422
ENSMUSG00000025795,3,11
ENSMUSG00000025809,341,352
ENSMUSG00000025810,201,130
ENSMUSG00000025816,35,39
ENSMUSG00000025817,163,150
ENSMUSG00000025821,69,47
ENSMUSG00000025823,461,337
ENSMUSG00000025825,67,54
ENSMUSG00000025857,38,34
ENSMUSG00000025858,103,115
ENSMUSG00000025860,125,119
ENSMUSG00000025862,349,295
ENSMUSG00000025868,167,114
ENSMUSG00000025869,303,177
ENSMUSG00000025870,41,44
ENSMUSG00000025871,109,81
ENSMUSG00000025872,265,140
ENSMUSG00000025873,135,132
ENSMUSG00000025875,16,11
ENSMUSG00000025876,11,21
ENSMUSG00000025877,1331,1150
ENSMUSG00000025878,108,81
ENSMUSG00000025880,17,12
ENSMUSG00000025888,170,89
ENSMUSG00000025893,17,10
ENSMUSG00000025894,105,97
ENSMUSG00000025898,119,55
ENSMUSG00000025899,67,50
ENSMUSG00000025903,70,43
ENSMUSG00000025907,137,98
ENSMUSG00000025915,199,136
ENSMUSG00000025917,261,217
ENSMUSG00000025920,75,75
ENSMUSG00000025921,9,12
ENSMUSG00000025925,99,73
ENSMUSG00000025932,657,572
ENSMUSG00000025933,2,3
ENSMUSG00000025935,450,397
ENSMUSG00000025937,53,40
ENSMUSG00000025939,125,102
ENSMUSG00000025940,141,106
ENSMUSG00000025949,130,110
ENSMUSG00000025950,142,122
ENSMUSG00000025956,55,28
ENSMUSG00000025958,165,154
ENSMUSG00000025959,7,8
ENSMUSG00000025962,74,79
ENSMUSG00000025967,1589,1104
ENSMUSG00000025968,283,248
ENSMUSG00000025969,21,13
ENSMUSG00000025971,13,37
ENSMUSG00000025979,106,98
ENSMUSG00000025980,418,349
ENSMUSG00000025981,20,14
ENSMUSG00000025982,1208,1096
ENSMUSG00000025986,129,139
ENSMUSG00000025995,254,194
ENSMUSG00000026000,50,30
ENSMUSG00000026003,551,425
ENSMUSG00000026004,180,142
ENSMUSG00000026005,136,67
ENSMUSG00000026012,0,10
ENSMUSG00000026014,30,28
ENSMUSG00000026017,35,27
ENSMUSG00000026018,6,4
ENSMUSG00000026019,336,244
ENSMUSG00000026020,729,536
ENSMUSG00000026021,85,69
ENSMUSG00000026024,23,27
ENSMUSG00000026027,50,29
ENSMUSG00000026028,44,61
ENSMUSG00000026029,255,211
ENSMUSG00000026031,126,120
ENSMUSG00000026032,146,113
ENSMUSG00000026034,255,183
ENSMUSG00000026035,80,68
ENSMUSG00000026036,75,85
ENSMUSG00000026037,161,157
ENSMUSG00000026039,54,55
ENSMUSG00000026042,9,6
ENSMUSG00000026047,55,53
ENSMUSG00000026048,12,34
ENSMUSG00000026049,101,85
ENSMUSG00000026064,46,44
ENSMUSG00000026068,25,45
ENSMUSG00000026072,5,0
ENSMUSG00000026073,2,2
ENSMUSG00000026074,170,116
ENSMUSG00000026078,77,48
ENSMUSG00000026082,77,37
ENSMUSG00000026083,370,364
ENSMUSG00000026087,130,107
ENSMUSG00000026088,40,24
ENSMUSG00000026094,97,66
ENSMUSG00000026095,24,21
ENSMUSG00000026096,8,18
ENSMUSG00000026097,32,46
ENSMUSG00000026098,37,20
ENSMUSG00000026102,72,51
ENSMUSG00000026103,215,191
ENSMUSG00000026104,33,12
ENSMUSG00000026107,18,26
ENSMUSG00000026110,53,78
ENSMUSG00000026111,114,88
ENSMUSG00000026112,265,230
ENSMUSG00000026113,21,25
ENSMUSG00000026116,194,149
ENSMUSG00000026121,14,14
ENSMUSG00000026123,115,84
ENSMUSG00000026124,1,0
ENSMUSG00000026126,186,153
ENSMUSG00000026127,263,244
ENSMUSG00000026131,37,30
ENSMUSG00000026134,107,105
ENSMUSG00000026135,60,43
ENSMUSG00000026141,145,86
ENSMUSG00000026142,32,29
ENSMUSG00000026150,211,127
ENSMUSG00000026154,31,23
ENSMUSG00000026155,33,18
ENSMUSG00000026156,4,2
ENSMUSG00000026158,383,235
ENSMUSG00000026159,151,105
ENSMUSG00000026162,16,19
ENSMUSG00000026167,16,17
ENSMUSG00000026171,23,23
ENSMUSG00000026172,43,26
ENSMUSG00000026174,276,205
ENSMUSG00000026176,31,32
ENSMUSG00000026177,235,250
ENSMUSG00000026179,65,38
ENSMUSG00000026181,177,185
ENSMUSG00000026187,19,26
ENSMUSG00000026189,24,23
ENSMUSG00000026192,237,214
ENSMUSG00000026193,4,3
ENSMUSG00000026196,63,67
ENSMUSG00000026197,51,44
ENSMUSG00000026198,4,1
ENSMUSG00000026199,43,37
ENSMUSG00000026200,28,6
ENSMUSG00000026201,288,261
ENSMUSG00000026202,506,435
ENSMUSG00000026203,22,21
ENSMUSG00000026204,0,0
ENSMUSG00000026209,93,63
ENSMUSG00000026213,83,52
ENSMUSG00000026219,264,249
ENSMUSG00000026222,115,77
ENSMUSG00000026223,36,30
ENSMUSG00000026228,3,3
ENSMUSG00000026229,523,377
ENSMUSG00000026234,2750,2506
ENSMUSG00000026235,32,33
ENSMUSG00000026238,319,226
ENSMUSG00000026239,74,48
ENSMUSG00000026240,68,50
ENSMUSG00000026245,252,175
ENSMUSG00000026248,176,140
ENSMUSG00000026254,272,192
ENSMUSG00000026255,41,35
ENSMUSG00000026260,360,284
ENSMUSG00000026269,90,94
ENSMUSG00000026270,38,35
ENSMUSG00000026273,39,17
ENSMUSG00000026274,56,39
ENSMUSG00000026275,154,152
ENSMUSG00000026276,26,15
ENSMUSG00000026277,76,73
ENSMUSG00000026278,14,12
ENSMUSG00000026279,23,56
ENSMUSG00000026280,129,101
ENSMUSG00000026281,351,284
ENSMUSG00000026283,70,63
ENSMUSG00000026288,722,602
ENSMUSG00000026289,91,66
ENSMUSG00000026305,484,383
ENSMUSG00000026307,113,48
ENSMUSG00000026308,1,1
ENSMUSG00000026309,205,168
ENSMUSG00000026311,23,41
ENSMUSG00000026313,33,25
ENSMUSG00000026315,2,0
ENSMUSG00000026317,1,2
ENSMUSG00000026319,62,105
ENSMUSG00000026321,3,7
ENSMUSG00000026327,0,0
ENSMUSG00000026333,42,19
ENSMUSG00000026335,115,112
ENSMUSG00000026339,64,66
ENSMUSG00000026341,467,361
ENSMUSG00000026342,62,25
ENSMUSG00000026349,164,155
ENSMUSG00000026353,290,224
ENSMUSG00000026355,1125,1022
ENSMUSG00000026356,302,302
ENSMUSG00000026357,263,250
ENSMUSG00000026358,52,43
ENSMUSG00000026360,269,137
ENSMUSG00000026361,150,137
ENSMUSG00000026374,314,287
ENSMUSG00000026377,326,212
ENSMUSG00000026383,21,17
ENSMUSG00000026384,105,63
ENSMUSG00000026385,420,262
ENSMUSG00000026388,5,4
ENSMUSG00000026389,150,103
ENSMUSG00000026393,84,57
ENSMUSG00000026395,801,790
ENSMUSG00000026404,28,22
ENSMUSG00000026409,8,6
ENSMUSG00000026411,2,0
ENSMUSG00000026421,180,167
ENSMUSG00000026425,116,117
ENSMUSG00000026426,21,24
ENSMUSG00000026427,114,119
ENSMUSG00000026429,22,32
ENSMUSG00000026430,150,97
ENSMUSG00000026433,41,21
ENSMUSG00000026434,690,672
ENSMUSG00000026435,33,21
ENSMUSG00000026436,265,176
ENSMUSG00000026437,14,9
ENSMUSG00000026439,98,50
ENSMUSG00000026447,8,1
ENSMUSG00000026455,41,15
ENSMUSG00000026456,82,70
ENSMUSG00000026457,352,265
ENSMUSG00000026458,22,25
ENSMUSG00000026463,332,293
ENSMUSG00000026466,122,110
ENSMUSG00000026469,134,66
ENSMUSG00000026470,77,51
ENSMUSG00000026471,37,8
ENSMUSG00000026473,11,10
ENSMUSG00000026475,1,4
ENSMUSG00000026478,263,294
ENSMUSG00000026480,83,80
ENSMUSG00000026482,64,53
ENSMUSG00000026484,151,90
ENSMUSG00000026489,37,29
ENSMUSG00000026490,33,32
ENSMUSG00000026491,418,350
ENSMUSG00000026492,17,12
ENSMUSG00000026495,11,6
ENSMUSG00000026496,590,524
ENSMUSG00000026499,102,69
ENSMUSG00000026500,5,1
ENSMUSG00000026502,74,79
ENSMUSG00000026504,46,32
ENSMUSG00000026509,34,33
ENSMUSG00000026510,102,97
ENSMUSG00000026511,108,78
ENSMUSG00000026516,151,116
ENSMUSG00000026519,46,19
ENSMUSG00000026520,203,155
ENSMUSG00000026525,2,9
ENSMUSG00000026526,377,313
ENSMUSG00000026532,7,21
ENSMUSG00000026544,23,15
ENSMUSG00000026547,1148,878
ENSMUSG00000026548,3,4
ENSMUSG00000026553,771,676
ENSMUSG00000026554,311,268
ENSMUSG00000026556,30,31
ENSMUSG00000026558,271,233
ENSMUSG00000026563,49,55
ENSMUSG00000026565,75,39
ENSMUSG00000026566,5,8
ENSMUSG00000026568,78,64
ENSMUSG00000026571,25,17
ENSMUSG00000026575,31,17
ENSMUSG00000026577,39,58
ENSMUSG00000026578,28,26
ENSMUSG00000026584,57,75
ENSMUSG00000026585,47,27
ENSMUSG00000026589,9,1
ENSMUSG00000026594,51,50
ENSMUSG00000026596,90,81
ENSMUSG00000026600,69,30
ENSMUSG00000026603,63,64
ENSMUSG00000026605,355,356
ENSMUSG00000026608,84,61
ENSMUSG00000026615,643,539
ENSMUSG00000026616,2,3
ENSMUSG00000026617,21,26
ENSMUSG00000026618,215,177
ENSMUSG00000026622,58,85
ENSMUSG00000026623,225,182
ENSMUSG00000026626,167,103
ENSMUSG00000026627,82,73
ENSMUSG00000026632,6,6
ENSMUSG00000026634,136,130
ENSMUSG00000026637,16,1
ENSMUSG00000026638,0,0
ENSMUSG00000026639,4,6
ENSMUSG00000026641,64,58
ENSMUSG00000026643,36,50
ENSMUSG00000026646,59,42
ENSMUSG00000026648,28,37
ENSMUSG00000026649,7,7
ENSMUSG00000026655,643,524
ENSMUSG00000026656,83,56
ENSMUSG00000026657,48,43
ENSMUSG00000026659,33,25
ENSMUSG00000026662,167,144
ENSMUSG00000026663,214,167
ENSMUSG00000026664,40,20
ENSMUSG00000026667,206,178
ENSMUSG00000026669,230,195
ENSMUSG00000026670,64,38
ENSMUSG00000026672,22,26
ENSMUSG00000026675,36,19
ENSMUSG00000026683,130,141
ENSMUSG00000026687,247,208
ENSMUSG00000026688,10,9
ENSMUSG00000026694,42,54
ENSMUSG00000026696,15,20
ENSMUSG00000026698,71,38
ENSMUSG00000026700,5,0
ENSMUSG00000026701,805,542
ENSMUSG00000026705,50,28
ENSMUSG00000026707,10,9
ENSMUSG00000026708,44,55
ENSMUSG00000026709,99,71
ENSMUSG00000026715,0,0
ENSMUSG00000026718,145,128
ENSMUSG00000026721,117,118
ENSMUSG00000026723,28,22
ENSMUSG00000026727,569,403
ENSMUSG00000026728,1179,943
ENSMUSG00000026730,45,28
ENSMUSG00000026737,159,145
ENSMUSG00000026739,106,97
ENSMUSG00000026740,155,129
ENSMUSG00000026743,181,93
ENSMUSG00000026749,41,33
ENSMUSG00000026750,197,166
ENSMUSG00000026753,113,173
ENSMUSG00000026754,60,29
ENSMUSG00000026755,218,178
ENSMUSG00000026761,93,86
ENSMUSG00000026766,184,116
ENSMUSG00000026767,51,29
ENSMUSG00000026768,52,57
ENSMUSG00000026771,53,41
ENSMUSG00000026773,105,95
ENSMUSG00000026775,216,144
ENSMUSG00000026779,67,62
ENSMUSG00000026781,38,30
ENSMUSG00000026782,125,92
ENSMUSG00000026784,50,35
ENSMUSG00000026785,20,18
ENSMUSG00000026786,123,101
ENSMUSG00000026788,23,31
ENSMUSG00000026790,134,131
ENSMUSG00000026791,46,25
ENSMUSG00000026792,8,9
ENSMUSG00000026796,62,39
ENSMUSG00000026797,33,53
ENSMUSG00000026798,39,28
ENSMUSG00000026799,23,17
ENSMUSG00000026803,81,39
ENSMUSG00000026806,32,22
ENSMUSG00000026807,0,1
ENSMUSG00000026809,18,18
ENSMUSG00000026810,124,73
ENSMUSG00000026811,48,40
ENSMUSG00000026812,90,80
ENSMUSG00000026814,0,1
ENSMUSG00000026815,115,67
ENSMUSG00000026816,85,93
ENSMUSG00000026817,0,5
ENSMUSG00000026819,30,33
ENSMUSG00000026820,73,35
ENSMUSG00000026821,54,44
ENSMUSG00000026822,2,0
ENSMUSG00000026826,24,7
ENSMUSG00000026827,113,89
ENSMUSG00000026832,28,16
ENSMUSG00000026833,87,65
ENSMUSG00000026835,0,0
ENSMUSG00000026842,154,180
ENSMUSG00000026843,62,66
ENSMUSG00000026848,87,45
ENSMUSG00000026849,95,81
ENSMUSG00000026851,84,67
ENSMUSG00000026853,50,35
ENSMUSG00000026854,22,18
ENSMUSG00000026856,58,41
ENSMUSG00000026857,80,57
ENSMUSG00000026858,25,27
ENSMUSG00000026860,94,30
ENSMUSG00000026864,1802,1443
ENSMUSG00000026867,350,264
ENSMUSG00000026869,226,191
ENSMUSG00000026872,396,353
ENSMUSG00000026873,32,49
ENSMUSG00000026878,277,238
ENSMUSG00000026879,55,35
ENSMUSG00000026880,133,128
ENSMUSG00000026883,86,69
ENSMUSG00000026887,51,31
ENSMUSG00000026889,49,39
ENSMUSG00000026893,147,119
ENSMUSG00000026895,318,252
ENSMUSG00000026896,108,90
ENSMUSG00000026914,437,336
